ID;L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20
2021;1;2;15;16;22;24;25;29;30;31;33;34;38;40;47;61;62;73;75;77
2022;1;6;10;16;17;18;20;28;37;38;40;42;44;49;50;51;53;57;65;71
2023;4;7;8;15;19;21;22;23;24;30;32;33;37;42;45;57;62;68;72;75
2024;3;9;10;11;19;28;40;41;42;44;45;48;55;60;61;68;69;70;75;78
2025;1;6;13;16;17;18;19;20;22;24;33;36;37;39;41;53;54;69;78;80
2026;4;9;10;14;24;35;39;42;48;51;55;58;62;65;66;68;70;71;75;77
2027;3;4;7;12;13;21;22;23;26;30;34;35;40;41;51;62;64;69;71;72
2028;4;8;10;12;16;17;19;29;33;37;44;51;53;57;58;63;64;66;73;80
2029;2;4;6;12;14;20;24;28;30;37;38;42;44;54;56;63;65;70;71;73
2030;1;4;5;7;18;23;24;27;28;34;40;47;52;55;57;58;65;66;67;74
2031;1;2;3;7;12;17;22;23;29;32;34;36;37;43;46;56;59;60;71;73
2032;9;12;17;24;26;27;28;30;37;48;50;52;54;59;65;69;72;74;77;79
2033;7;10;16;18;22;24;27;28;35;42;52;59;61;63;65;67;71;72;75;78
2034;10;11;16;19;21;23;27;29;32;33;36;40;44;47;58;64;67;71;77;80
2035;4;5;10;13;14;18;20;21;25;26;30;38;51;58;61;63;75;76;79;80
2036;4;6;7;8;27;28;30;32;42;44;47;48;49;50;55;59;61;63;75;76
2037;5;6;7;14;17;18;28;38;39;40;45;52;53;56;63;66;72;73;74;80
2038;1;3;12;14;17;27;39;43;45;50;54;56;57;58;67;71;72;74;75;76
2039;13;16;17;18;21;22;23;26;31;33;39;43;44;48;51;62;67;70;74;80
2040;1;4;5;11;12;13;18;21;34;35;36;56;58;60;62;63;64;73;76;77
2041;1;4;9;15;17;19;25;26;31;34;42;53;54;56;58;62;63;66;76;78
2042;2;6;9;10;15;20;21;24;25;29;35;38;42;51;52;54;57;65;68;72
2043;10;11;14;29;31;37;38;42;46;50;55;57;58;61;63;65;66;72;73;78
2044;2;3;14;15;18;23;24;27;38;41;44;45;48;50;56;63;67;71;73;76
2045;4;11;14;16;18;19;34;36;37;43;44;52;55;58;59;66;69;73;74;75
2046;5;6;23;28;31;32;38;42;43;44;45;46;54;57;58;62;66;70;76;80
2047;4;6;10;13;16;17;19;22;30;33;40;48;49;52;55;59;67;71;74;78
2048;6;7;9;10;23;25;27;31;34;41;48;50;55;59;62;65;70;77;78;79
2049;1;4;6;11;12;18;22;23;25;30;40;51;53;54;56;59;70;74;79;80
2050;8;14;17;19;24;28;35;36;37;43;53;54;56;61;62;65;66;73;76;79
2051;1;2;4;7;11;13;14;31;36;37;40;41;42;52;55;58;59;64;66;76
2052;2;4;5;6;10;32;42;46;48;54;55;56;57;66;68;69;70;74;75;77
2053;2;11;16;22;23;35;40;41;44;47;51;52;56;59;61;62;63;70;72;74
2054;1;2;4;8;20;29;31;34;38;39;40;41;44;47;56;57;66;70;74;77
2055;5;7;23;24;27;31;35;37;40;41;49;51;55;56;58;66;70;71;74;76
2056;1;2;6;10;14;23;26;28;33;34;37;38;40;52;62;65;67;76;77;80
2057;1;2;6;16;22;24;30;41;43;44;45;46;51;58;68;69;72;74;78;80
2058;3;4;10;17;19;21;24;25;28;38;39;41;43;48;52;53;62;69;75;79
2059;3;4;5;6;11;15;19;22;33;34;39;42;46;48;56;59;69;71;78;80
2060;3;4;5;8;10;13;14;15;26;31;34;36;38;40;49;57;60;61;66;70
2061;11;20;21;27;32;33;34;39;42;46;53;55;58;61;64;68;69;73;74;79
2062;2;5;16;17;31;34;37;40;41;42;44;48;53;56;58;64;71;77;79;80
2063;4;8;9;14;16;19;20;21;26;28;37;40;51;54;57;64;69;70;74;76
2064;1;2;4;9;11;22;23;26;27;30;36;42;44;50;51;53;56;66;78;79
2065;1;2;7;10;13;14;22;23;35;36;40;41;44;48;52;59;62;66;68;72
2066;3;5;27;28;46;47;54;58;59;60;62;69;70;72;73;75;77;78;79;80
2067;2;3;7;18;21;24;25;27;28;29;36;38;42;43;52;58;63;70;75;80
2068;4;6;7;15;24;33;36;41;42;48;51;52;55;60;61;66;72;75;77;78
2069;2;15;19;25;26;28;36;41;43;45;48;50;51;52;58;60;66;72;73;77
2070;5;6;15;21;22;23;25;34;39;41;42;52;53;57;58;68;71;73;78;79
2071;1;4;6;11;17;21;32;38;47;48;58;59;61;67;68;69;71;73;75;79
2072;5;7;15;17;18;20;21;29;30;33;56;57;58;60;69;73;74;75;77;78
2073;3;4;5;8;12;16;19;21;22;25;26;34;37;46;50;55;66;72;77;79
2074;4;7;8;14;19;23;25;26;30;31;35;56;57;58;59;66;69;71;72;76
2075;2;3;9;11;13;16;20;23;26;33;36;37;39;51;55;56;58;67;76;80
2076;1;5;6;8;16;19;21;34;35;43;44;53;57;62;64;65;67;71;72;76
2077;3;5;11;14;17;19;20;24;26;32;35;43;46;50;51;56;59;60;70;73
2078;3;4;6;10;11;19;24;37;40;43;46;47;51;53;54;63;67;69;71;76
2079;1;19;22;25;26;27;32;35;38;39;42;51;54;60;64;68;72;73;74;78
2080;10;11;15;20;27;30;34;36;39;40;42;46;49;50;51;59;65;68;71;78
2081;1;2;5;6;7;13;15;22;41;42;46;50;52;57;65;69;70;71;75;79
2082;3;12;13;14;22;23;25;26;35;39;50;53;61;67;69;70;71;75;76;78
2083;8;11;15;16;23;26;29;30;31;39;40;41;43;48;54;56;58;62;74;76
2084;3;7;11;13;26;30;34;42;44;46;48;52;53;57;65;70;75;76;77;80
2085;1;2;4;5;19;33;38;40;42;43;44;46;48;54;58;63;64;73;75;80
2086;1;8;12;14;16;32;38;39;40;47;52;53;56;58;62;67;72;78;79;80
2087;2;10;11;15;16;17;19;28;32;38;40;46;48;51;59;68;69;71;72;73
2088;5;8;13;19;23;24;25;35;36;38;41;49;50;51;52;58;60;68;74;78
2089;1;2;7;25;29;30;31;32;37;42;46;52;58;60;63;66;70;74;75;77
2090;18;22;26;30;33;36;38;40;41;42;44;47;48;57;58;72;76;77;79;80
2091;7;9;18;19;30;31;40;44;46;49;50;58;63;64;66;67;68;74;77;78
2092;3;8;10;14;15;18;21;33;34;37;38;39;46;48;50;51;62;63;68;69
2093;1;2;3;5;6;10;14;19;24;29;33;35;37;38;48;49;68;70;72;77
2094;5;8;16;20;27;30;31;38;39;40;43;47;50;57;58;59;65;74;78;80
2095;2;3;4;5;11;18;21;22;23;29;37;38;39;41;46;48;56;59;62;77
2096;10;15;16;17;22;23;27;34;38;40;43;46;48;53;58;59;67;69;71;77
2097;2;6;7;10;11;22;25;28;34;39;41;46;49;53;55;56;59;66;75;77
2098;4;5;6;10;12;14;19;20;21;22;24;38;44;47;48;49;56;66;67;76
2099;3;4;5;6;14;16;17;22;25;26;28;29;31;35;40;42;44;47;57;78
2100;5;17;20;23;27;37;40;44;48;50;57;62;65;67;69;70;72;76;77;80
2101;5;7;18;23;26;33;36;42;44;47;48;50;54;55;65;68;69;71;72;75
2102;6;10;15;16;24;32;34;36;39;40;42;45;46;49;64;69;72;74;77;79
2103;2;3;8;13;16;18;23;25;26;27;30;40;42;46;54;56;65;69;70;71
2104;3;4;7;8;15;18;20;30;33;36;43;45;53;55;56;57;58;67;75;78
2105;4;5;6;17;20;24;28;38;43;44;45;47;48;50;51;53;60;61;66;78
2106;3;5;9;19;22;24;25;29;30;32;38;42;44;63;67;69;72;73;76;80
2107;4;13;14;16;22;24;29;40;41;44;46;50;53;56;59;60;62;64;66;68
2108;2;4;5;9;16;20;24;26;33;34;39;47;51;52;54;61;69;71;72;73
2109;1;2;4;7;14;16;20;21;23;24;26;33;41;44;55;67;69;72;76;79
2110;1;8;9;18;21;25;26;29;33;34;37;41;44;50;57;60;67;68;70;75
2111;4;6;8;9;22;27;29;35;38;41;43;49;52;59;61;64;66;67;74;80
2112;1;4;7;8;13;14;20;38;42;44;53;54;62;63;64;66;67;72;75;80
2113;2;6;8;16;18;20;21;22;23;26;33;41;42;43;45;46;52;60;65;80
2114;3;10;12;17;21;22;23;24;32;33;44;47;48;49;50;54;55;60;65;75
2115;1;11;13;18;22;23;24;31;32;34;38;42;48;51;53;54;55;56;64;77
2116;11;13;14;24;29;30;36;41;44;47;48;51;55;57;60;64;65;71;72;77
2117;1;5;6;7;14;15;16;17;19;21;30;34;44;45;48;58;69;73;75;79
2118;13;19;21;25;26;28;30;36;42;43;45;47;54;56;67;69;70;73;75;76
2119;6;9;13;14;18;20;23;24;26;32;39;41;48;57;63;67;71;72;73;77
2120;3;10;20;24;29;32;33;34;44;47;48;49;50;54;59;67;71;74;75;79
2121;2;4;7;14;15;17;23;28;36;38;45;47;49;51;55;59;63;65;69;74
2122;9;14;16;17;26;28;31;34;41;48;50;52;53;58;59;63;65;67;72;80
2123;2;3;7;12;15;18;22;23;24;35;37;38;39;51;58;63;65;67;76;79
2124;1;2;4;17;18;21;23;26;29;34;36;37;39;46;47;58;64;67;77;80
2125;10;11;14;18;19;27;28;33;34;35;42;44;45;53;58;62;63;71;72;77
2126;3;4;6;9;18;20;22;23;29;35;39;40;47;50;53;58;61;65;74;78
2127;11;12;13;16;17;18;19;33;40;43;44;51;60;67;68;71;72;73;75;79
2128;4;5;7;8;12;13;18;27;36;47;48;53;57;59;60;65;71;76;78;80
2129;1;5;12;15;19;29;31;32;42;44;46;47;48;55;63;64;68;70;72;75
2130;4;6;8;11;15;16;18;19;22;25;28;34;40;43;48;50;61;71;73;78
2131;2;4;12;13;17;23;31;32;34;38;39;48;51;57;58;59;68;71;75;78
2132;3;6;11;14;24;34;35;36;37;38;41;46;48;53;54;60;64;65;66;72
2133;6;17;18;20;22;24;27;35;37;40;42;44;46;56;58;63;67;69;70;80
2134;10;19;24;30;34;40;41;42;49;55;56;59;62;65;68;70;71;74;78;79
2135;2;14;15;17;19;21;29;33;35;40;42;43;49;51;53;63;65;67;68;78
2136;5;8;11;12;14;22;25;32;36;38;39;42;44;50;56;58;59;67;68;76
2137;8;17;20;21;30;34;35;47;48;49;52;55;56;57;65;72;73;74;77;78
2138;1;10;15;16;17;22;32;35;40;43;49;52;57;60;64;65;66;70;76;77
2139;2;3;5;9;11;15;16;23;34;36;48;49;53;56;61;62;70;74;78;79
2140;1;7;10;11;18;22;26;32;34;37;38;44;46;53;54;60;64;72;75;76
2141;2;9;19;21;25;27;30;36;37;39;41;42;44;47;50;51;63;69;70;75
2142;5;7;11;19;20;28;29;30;35;43;47;52;58;59;64;66;73;74;77;79
2143;1;3;4;8;11;14;23;25;28;34;35;37;39;49;57;63;69;70;71;73
2144;5;6;13;14;22;26;27;33;37;38;41;54;55;61;64;67;70;73;76;77
2145;1;4;13;15;19;22;24;26;36;42;45;54;59;60;62;63;68;70;74;75
2146;2;8;11;13;15;16;18;22;24;25;33;34;40;45;57;63;65;67;70;73
2147;3;6;8;14;17;25;27;28;32;35;36;42;46;56;59;63;67;71;72;74
2148;5;7;11;12;17;19;20;21;25;26;31;35;36;50;52;55;57;59;61;63
2149;6;11;16;19;21;23;25;28;31;37;40;47;57;60;61;62;63;64;68;72
2150;2;7;17;19;30;39;40;42;43;47;48;51;55;60;67;70;76;77;79;80
2151;1;3;12;13;17;19;23;25;35;45;46;50;53;60;61;62;65;70;73;80
2152;4;6;9;16;23;25;28;37;47;51;58;60;61;62;63;64;72;73;74;76
2153;4;7;10;13;19;28;30;36;38;40;45;46;53;54;55;57;72;75;77;79
2154;2;5;10;14;18;29;35;38;40;41;44;49;55;56;57;58;61;63;64;77
2155;1;3;4;6;9;14;20;23;24;27;32;34;38;40;41;45;50;53;63;71
2156;1;5;8;10;11;12;15;16;25;31;33;37;46;48;59;60;61;62;69;71
2157;1;3;4;22;26;28;33;35;36;39;44;45;47;49;50;56;57;61;70;78
2158;7;11;12;13;19;24;26;27;29;33;34;42;45;47;50;52;53;56;63;69
2159;4;11;12;15;17;21;23;24;33;36;39;40;49;53;60;61;64;65;72;74
2160;5;7;11;12;16;19;21;29;34;39;41;44;48;50;53;56;68;71;77;79
2161;7;13;21;25;26;32;33;35;38;39;45;46;49;51;61;65;66;68;72;79
2162;1;2;5;7;11;14;16;20;22;32;41;42;56;58;61;65;68;72;75;80
2163;3;4;10;12;16;29;33;34;36;38;40;44;45;51;54;63;66;71;75;76
2164;3;7;17;18;31;32;39;42;44;47;52;56;57;62;65;66;67;68;70;78
2165;4;7;9;12;15;17;19;24;26;28;29;32;36;37;41;46;50;59;67;77
2166;3;12;13;20;35;39;46;47;49;53;58;59;63;65;67;68;72;74;76;79
2167;10;14;16;21;32;46;52;53;55;57;58;60;65;68;70;72;75;77;79;80
2168;4;5;6;9;11;14;16;17;27;31;34;40;44;48;53;59;61;70;73;78
2169;8;13;16;19;23;27;28;35;36;38;41;47;54;65;67;68;69;70;78;79
2170;7;13;18;19;21;23;28;30;32;36;42;43;48;49;50;63;73;74;79;80
2171;3;10;12;13;22;25;27;28;32;34;35;46;47;61;62;67;70;75;77;80
2172;5;6;8;14;19;20;26;32;44;47;49;55;57;58;63;72;76;77;79;80
2173;4;9;12;16;19;23;25;29;36;41;42;44;47;49;53;62;69;70;71;74
2174;3;8;9;10;19;27;28;31;34;38;43;44;47;48;53;60;65;66;72;73
2175;4;5;13;20;21;25;32;33;42;44;46;47;53;55;59;67;68;69;77;78
2176;5;7;8;19;20;30;33;38;39;40;44;45;51;52;55;59;61;63;65;79
2177;2;3;5;7;13;15;17;24;30;31;35;37;39;46;51;54;60;67;72;74
2178;1;3;4;6;10;11;16;19;21;29;30;32;40;50;53;56;57;64;69;79
2179;3;7;11;15;16;17;19;28;35;42;43;45;47;52;58;59;68;73;74;75
2180;7;9;21;26;27;31;32;35;43;47;52;58;59;61;65;71;73;76;79;80
2181;9;19;23;28;29;33;38;40;41;45;47;48;49;51;53;54;55;65;70;75
2182;2;5;8;11;14;23;34;36;37;41;45;49;50;53;54;55;62;64;66;79
2183;2;5;12;19;29;37;38;42;47;50;52;55;60;62;71;73;74;75;78;80
2184;1;2;3;18;21;25;26;42;43;48;59;60;64;65;66;67;71;72;75;77
2185;1;12;17;19;22;23;24;43;44;48;52;54;55;57;60;63;67;73;78;80
2186;11;14;17;18;23;30;36;39;41;42;48;51;55;57;58;71;73;74;76;79
2187;1;10;16;17;18;19;26;30;32;40;43;48;49;55;57;60;62;64;65;79
2188;2;4;14;16;25;31;34;38;39;42;43;53;54;59;67;68;71;72;77;79
2189;5;10;11;13;16;24;25;28;35;38;39;43;53;60;62;63;67;68;75;79
2190;1;2;7;9;11;20;21;22;25;30;48;49;52;54;55;62;66;70;76;79
2191;2;3;8;14;16;17;19;21;28;36;39;40;43;48;57;58;69;72;74;77
2192;1;9;17;18;22;26;31;33;35;40;41;44;48;49;55;56;58;63;66;75
2193;2;4;8;9;11;15;16;19;21;24;25;29;33;40;49;60;61;70;73;79
2194;1;3;4;6;12;15;17;22;32;37;40;42;44;49;50;56;67;68;74;77
2195;2;5;6;7;11;16;20;21;27;29;30;33;35;37;43;49;57;58;61;76
2196;2;7;9;12;22;24;30;32;33;34;36;37;43;48;53;58;62;65;74;77
2197;7;12;14;15;17;19;21;24;26;27;35;44;50;52;55;57;62;68;72;80
2198;5;13;17;20;21;22;26;29;32;43;44;52;58;63;67;69;71;72;75;79
2199;1;5;9;11;13;15;19;24;25;26;39;41;50;58;68;72;73;76;78;80
2200;2;7;9;11;17;18;19;23;25;31;33;37;44;53;59;62;64;75;78;79
2201;1;2;3;5;6;13;25;32;39;47;50;53;56;63;64;65;69;70;71;74
2202;4;7;13;16;19;26;27;35;36;40;51;55;60;65;67;68;74;78;79;80
2203;1;6;8;9;10;13;19;30;31;32;34;36;38;43;49;52;54;73;77;80
2204;3;5;8;9;10;23;25;27;28;30;42;51;55;57;62;64;67;68;69;80
2205;1;2;6;7;11;14;17;23;31;33;40;45;46;53;60;61;66;71;73;78
2206;2;6;12;17;20;22;24;29;30;33;35;38;41;42;54;56;60;63;67;78
2207;5;9;14;18;24;25;27;38;42;48;49;50;56;57;59;60;63;65;70;74
2208;2;3;11;12;16;20;21;22;25;26;30;31;32;37;49;60;65;74;77;80
2209;6;7;11;12;18;25;26;30;33;36;43;45;51;52;57;60;65;68;72;80
2210;2;4;6;10;12;16;21;29;32;35;48;51;61;66;69;72;73;74;75;78
2211;1;5;12;14;18;23;24;29;31;35;36;37;40;42;45;48;63;65;75;77
2212;7;14;17;23;24;26;30;33;35;43;46;48;49;59;62;67;70;74;76;78
2213;8;17;20;25;29;35;36;38;41;42;44;45;49;52;56;64;67;76;77;78
2214;2;17;18;19;20;22;28;36;38;40;42;48;51;55;57;60;62;67;69;78
2215;1;4;18;21;25;30;41;42;44;46;47;49;52;53;56;57;61;66;73;80
2216;3;13;16;19;22;23;26;28;29;32;33;34;40;42;44;54;58;62;65;78
2217;12;13;14;15;24;25;29;32;39;40;42;47;48;53;63;64;70;73;78;79
2218;3;8;14;16;20;22;24;32;33;35;36;41;43;48;49;51;52;56;60;78
2219;6;8;12;16;17;18;19;34;36;37;38;45;57;58;61;63;68;70;72;73
2220;3;6;9;15;24;25;33;34;38;47;48;51;52;55;57;60;61;73;79;80
2221;1;7;8;34;38;42;43;45;47;48;51;52;53;56;61;67;68;72;77;80
2222;1;7;12;17;22;26;28;34;41;44;46;49;51;52;55;60;61;66;72;74
2223;2;9;10;14;21;23;29;31;33;34;36;37;44;47;62;65;67;70;78;80
2224;1;11;16;18;23;24;27;29;31;40;41;42;44;45;61;64;65;66;67;76
2225;5;10;12;13;15;16;26;27;38;46;51;52;55;56;57;62;65;73;78;80
2226;5;13;26;30;33;35;37;41;45;49;50;53;57;61;62;68;69;70;74;80
2227;5;11;21;23;26;29;31;32;38;41;42;46;48;52;54;58;59;61;63;76
2228;1;5;17;24;27;31;32;39;40;45;50;51;53;58;63;69;70;73;75;77
2229;1;2;6;9;13;18;19;28;36;38;52;53;59;63;64;65;68;72;78;80
2230;1;2;3;5;7;20;35;39;42;43;46;47;48;51;59;61;70;73;74;78
2231;2;3;7;14;19;35;36;37;38;40;44;46;51;53;62;63;65;67;68;77
2232;1;8;11;16;18;22;23;24;26;31;39;49;57;58;61;69;71;72;73;77
2233;2;3;4;6;8;9;15;17;18;20;25;30;40;41;45;53;56;59;61;70
2234;4;22;25;26;28;29;34;37;39;44;49;51;53;61;62;66;73;75;77;78
2235;2;7;23;29;32;33;40;42;45;48;49;54;56;59;60;73;75;76;78;80
2236;6;7;8;10;12;13;18;22;26;29;42;46;49;50;63;64;66;71;72;75
2237;4;5;17;21;24;26;27;29;34;44;45;46;47;53;54;64;67;68;69;76
2238;5;12;14;17;25;27;29;32;35;37;43;44;45;46;56;60;63;67;76;78
2239;1;2;3;16;23;30;35;40;48;52;55;57;63;67;70;73;74;77;79;80
2240;2;4;8;9;10;11;13;17;22;27;29;39;45;46;50;53;56;66;76;80
2241;2;5;16;22;30;32;34;36;41;46;48;52;54;57;58;60;62;68;72;77
2242;1;8;20;23;29;37;40;45;47;48;53;56;63;67;68;69;71;73;74;75
2243;6;9;10;11;19;20;22;24;26;27;30;34;40;54;55;60;63;64;68;71
2244;4;7;11;22;23;25;28;29;32;35;40;42;50;53;59;60;68;76;77;78
2245;1;6;10;11;15;16;19;21;25;32;44;53;55;61;64;65;67;71;74;76
2246;5;8;9;12;13;22;38;41;46;49;50;54;59;62;66;67;70;74;75;79
2247;5;9;14;17;18;19;23;34;40;44;49;50;55;59;60;61;71;75;79;80
2248;1;5;9;10;12;20;22;24;25;27;28;30;36;46;56;58;60;65;74;78
2249;6;7;13;14;17;18;24;27;30;31;33;36;40;43;50;56;64;66;71;73
2250;2;3;12;21;23;27;31;38;39;41;42;44;46;49;51;56;58;62;65;79
2251;1;17;18;27;28;33;37;38;45;46;51;55;56;57;59;61;65;66;68;69
2252;2;6;9;12;19;27;29;30;35;39;49;51;52;53;58;61;70;71;76;77
2253;8;10;11;18;20;22;23;24;31;34;38;41;43;45;48;49;62;64;68;74
2254;8;10;12;15;16;18;20;33;36;43;53;60;62;64;65;68;71;72;76;77
2255;4;13;14;20;22;25;30;32;39;40;42;43;53;54;59;63;67;68;71;75
2256;1;2;13;14;21;23;27;30;31;34;38;39;42;43;44;59;60;61;72;76
2257;4;5;8;11;12;18;22;23;28;37;38;41;42;43;50;55;58;60;67;72
2258;1;2;3;6;20;23;25;28;29;39;46;57;58;60;63;65;67;68;69;70
2259;2;5;11;13;17;18;22;30;35;36;39;42;43;51;52;54;56;58;66;75
2260;5;7;8;14;15;21;24;32;38;40;46;59;60;61;62;63;67;69;78;79
2261;1;4;11;12;14;15;16;24;28;37;39;43;45;53;54;67;68;72;74;79
2262;7;8;12;17;20;29;33;35;36;37;42;51;55;59;60;63;72;74;75;79
2263;2;3;12;19;21;22;32;40;43;48;49;50;53;54;64;65;66;74;78;79
2264;3;4;5;13;15;23;24;26;30;39;40;41;44;47;62;63;68;74;76;77
2265;8;18;19;25;26;28;31;33;38;39;43;55;57;58;62;64;66;74;78;79
2266;7;14;18;24;26;29;30;31;39;46;47;50;51;55;57;60;63;69;70;76
2267;6;10;16;20;22;26;27;33;41;48;50;54;56;60;61;64;65;68;73;80
2268;6;7;9;10;13;29;32;34;48;54;58;61;62;66;68;70;74;75;77;80
2269;4;5;11;13;33;39;40;41;42;46;47;55;56;62;68;69;73;74;75;79
2270;1;2;4;5;16;18;20;31;35;36;41;42;44;53;58;61;62;64;68;78
2271;1;3;7;11;13;16;25;26;30;36;45;48;49;50;53;54;60;71;74;76
2272;1;2;16;19;21;27;29;35;39;43;44;46;53;54;56;58;63;73;78;80
2273;1;6;13;27;28;33;39;40;46;49;51;53;56;61;64;66;69;73;76;79
2274;12;13;14;17;18;20;24;28;29;32;33;34;44;46;54;57;64;71;73;79
2275;3;15;19;22;26;31;36;38;40;45;49;51;52;58;61;62;65;68;69;77
2276;1;2;3;4;7;16;19;24;39;45;49;50;51;52;53;60;62;69;73;79
2277;4;6;9;12;18;22;28;32;34;35;38;47;50;52;54;66;70;75;76;80
2278;2;8;10;12;17;18;23;24;25;29;35;36;46;50;52;54;55;63;69;79
2279;7;12;13;17;23;26;27;35;37;40;47;50;61;62;64;68;69;75;77;78
2280;10;13;15;16;19;20;25;33;41;43;44;46;47;48;59;62;65;67;69;70
2281;12;14;18;19;21;23;31;37;40;41;49;53;56;62;73;74;75;76;77;79
2282;6;7;9;12;15;18;26;28;40;44;47;53;57;65;66;67;68;75;76;80
2283;4;8;12;15;16;18;20;22;25;26;27;31;32;38;40;44;50;56;60;63
2284;1;3;6;10;11;15;21;25;27;45;50;51;56;63;64;66;69;71;77;79
2285;1;2;4;5;16;30;32;33;34;41;43;46;48;51;55;65;71;72;73;79
2286;5;11;14;20;28;30;32;35;45;46;48;49;50;53;56;70;71;73;74;76
2287;9;14;19;23;30;33;34;36;40;49;53;57;59;64;66;67;72;73;74;77
2288;2;3;9;13;14;16;17;25;29;33;34;36;38;43;46;47;48;51;69;70
2289;2;7;10;12;18;19;22;29;31;36;42;43;48;58;60;62;70;71;73;74
2290;3;5;6;9;24;28;30;32;33;40;43;44;46;49;52;54;69;72;74;80
2291;2;11;13;23;29;32;46;47;48;52;54;58;61;63;69;71;76;77;78;79
2292;1;13;14;15;16;17;19;23;26;29;36;37;46;48;49;53;71;74;76;77
2293;7;8;9;15;19;29;39;44;49;50;53;61;64;65;66;68;72;75;78;79
2294;8;10;11;20;21;24;26;27;30;33;37;42;51;57;62;66;69;73;76;80
2295;6;7;12;13;16;20;22;23;24;27;30;34;43;45;48;50;60;66;70;71
2296;19;22;28;32;33;35;38;43;44;46;48;49;57;58;60;65;68;71;74;79
2297;6;8;10;11;15;23;24;26;32;35;37;38;41;45;47;49;53;60;64;76
2298;3;8;10;11;15;19;27;28;36;39;43;44;52;57;60;62;63;72;76;77
2299;3;5;7;8;17;21;22;23;27;28;39;43;45;48;49;55;60;64;73;74
2300;2;14;16;22;23;27;28;32;33;34;37;39;41;42;55;58;61;65;66;77
2301;1;6;17;21;23;24;25;27;28;33;34;37;38;44;45;51;55;59;74;77
2302;1;5;7;15;17;31;32;35;36;38;41;44;46;47;57;62;69;72;76;77
2303;2;10;12;13;16;17;19;30;33;39;40;46;49;55;59;65;66;71;74;79
2304;1;3;9;23;24;27;28;30;31;32;35;39;53;54;56;57;66;72;75;79
2305;8;19;34;36;37;42;43;45;47;54;55;61;62;65;66;72;74;75;76;79
2306;4;11;17;19;21;22;23;27;28;30;32;40;53;58;60;64;70;73;76;79
2307;6;10;16;17;18;21;22;26;27;29;31;36;38;45;52;55;65;69;72;80
2308;1;8;10;18;19;20;25;26;27;29;31;42;48;54;55;58;61;62;65;72
2309;1;5;6;7;8;10;25;26;42;47;53;60;63;64;65;71;74;76;78;80
2310;1;2;5;7;8;10;13;15;29;32;33;39;42;43;45;49;55;67;71;73
2311;5;16;17;19;23;29;30;35;37;38;41;43;49;51;54;57;58;68;73;75
2312;8;9;15;22;25;34;36;40;42;45;53;54;55;57;61;63;64;65;68;72
2313;2;12;18;19;27;28;34;41;43;45;46;47;49;60;62;68;71;73;79;80
2314;5;6;7;8;21;23;24;25;31;32;34;35;37;47;58;59;61;64;69;80
2315;6;10;13;16;22;30;31;46;50;52;53;56;59;63;64;67;71;72;75;79
2316;1;6;11;16;18;19;21;24;32;34;44;47;48;53;55;59;61;65;70;76
2317;8;14;18;19;24;25;29;30;31;32;44;45;51;55;57;58;60;64;71;80
2318;1;2;4;11;16;22;25;26;33;35;49;51;52;53;59;63;69;74;77;80
2319;3;5;21;25;35;36;41;45;46;55;61;65;68;69;73;74;75;78;79;80
2320;1;9;14;16;17;22;23;31;33;35;36;44;47;51;54;55;60;65;66;80
2321;3;4;11;15;20;25;26;30;32;36;38;42;48;50;57;62;68;71;74;75
2322;4;6;7;14;20;29;34;37;41;46;49;53;56;58;59;65;66;67;77;79
2323;1;3;8;10;13;14;15;16;30;35;37;41;52;58;59;60;63;71;72;76
2324;4;7;11;12;17;18;23;24;31;34;37;54;55;56;58;62;67;72;75;77
2325;6;7;9;14;20;21;22;24;26;28;35;40;43;45;50;52;54;58;64;67
2326;4;8;9;12;13;14;19;20;25;27;30;32;38;40;42;48;55;63;68;77
2327;2;5;8;11;14;17;18;21;25;32;36;38;39;44;47;51;52;58;65;73
2328;7;11;17;18;21;22;24;31;32;35;37;42;50;63;67;68;69;70;73;77
2329;5;8;14;16;21;23;27;32;33;38;39;44;49;52;59;63;69;70;73;75
2330;2;10;12;15;17;19;21;23;26;28;39;40;41;43;47;48;53;55;63;65
2331;9;11;12;16;18;20;22;27;29;32;34;37;41;48;62;64;66;69;70;79
2332;4;11;13;22;33;41;42;45;51;54;55;59;61;62;69;70;71;72;76;78
2333;6;8;13;21;22;24;32;39;40;43;45;51;56;58;64;65;70;72;76;78
2334;7;12;19;22;24;27;32;36;37;44;47;49;53;54;56;58;63;68;73;80
2335;1;3;7;12;15;17;20;23;25;28;29;37;41;47;54;57;60;68;74;79
2336;1;5;11;12;18;23;24;32;35;38;42;43;45;51;57;58;61;70;78;80
2337;5;6;13;14;16;22;24;27;28;29;32;45;47;51;59;64;65;71;76;78
2338;2;10;17;22;26;27;32;33;39;46;51;53;62;67;68;69;71;72;76;80
2339;1;2;5;9;14;15;16;23;26;33;34;36;45;58;60;62;63;73;76;78
2340;1;4;6;7;16;18;20;21;23;25;26;32;36;49;51;53;57;58;63;77
2341;2;4;15;17;18;27;35;37;42;46;48;51;60;64;65;68;70;74;76;80
2342;1;6;8;12;21;25;29;32;37;44;45;46;50;52;53;56;74;76;77;78
2343;2;6;9;20;23;24;29;33;36;38;47;57;58;64;65;66;69;73;78;80
2344;3;10;17;20;24;26;33;37;39;42;46;51;54;59;62;68;71;75;78;80
